iter	MultiClass
0	1.371783989
1	1.355555932
2	1.342222092
3	1.321557645
4	1.303888875
5	1.287189397
6	1.272343964
7	1.255760251
8	1.242389044
9	1.228934538
10	1.216887574
11	1.204905371
12	1.193558014
13	1.179064265
14	1.164976012
15	1.152039043
16	1.142290467
17	1.13079568
18	1.120161549
19	1.110245708
20	1.10086918
21	1.089891058
22	1.078787135
23	1.065837523
24	1.055751258
25	1.046058609
26	1.034815616
27	1.023894167
28	1.01336112
29	1.004085724
30	0.9941039003
31	0.9880663843
32	0.9771387761
33	0.968402097
34	0.9614121605
35	0.9521639762
36	0.9441428585
37	0.937755283
38	0.9293244193
39	0.921714636
40	0.9120896157
41	0.903621345
42	0.8954048217
43	0.8889773161
44	0.8818604361
45	0.8746283509
46	0.8677314997
47	0.8593233171
48	0.8528319126
49	0.8453910351
50	0.840155725
51	0.831644649
52	0.8233550087
53	0.8163799898
54	0.8107101663
55	0.8047461146
56	0.7959159289
57	0.7895185313
58	0.783187972
59	0.7771357161
60	0.7710366053
61	0.7641165935
62	0.7585078404
63	0.7525964911
64	0.7456944989
65	0.740444751
66	0.7345648809
67	0.7285733735
68	0.725012133
69	0.7191170386
70	0.7116378606
71	0.7052675824
72	0.7007144743
73	0.6947014525
74	0.6874360558
75	0.682226484
76	0.6786050621
77	0.6732514508
78	0.6689666067
79	0.6638809759
80	0.6593354181
81	0.6552444729
82	0.6513782255
83	0.6475670035
84	0.6432067083
85	0.6380965601
86	0.6325778602
87	0.6270949589
88	0.6232063729
89	0.6199470944
90	0.6157316885
91	0.610459477
92	0.6068298243
93	0.6045625617
94	0.600808386
95	0.5978064644
96	0.5935781211
97	0.5883295451
98	0.5858028993
99	0.5820475549
100	0.5774616755
101	0.5738045608
102	0.5699090644
103	0.5644657404
104	0.5612526194
105	0.5577242108
106	0.5542993983
107	0.5503801215
108	0.5463851973
109	0.5427180683
110	0.5393782276
111	0.5356018517
112	0.5325155073
113	0.5279187826
114	0.5234225215
115	0.5197255449
116	0.5160107418
117	0.5124673889
118	0.5085462523
119	0.5054552994
120	0.5020172183
121	0.4983835422
122	0.4951886443
123	0.4915607333
124	0.4882717972
125	0.4844983535
126	0.4808200086
127	0.477290999
128	0.4729753107
129	0.4693038164
130	0.4661238549
131	0.4630705694
132	0.4602232406
133	0.4565613482
134	0.4524856189
135	0.4485860788
136	0.4445316526
137	0.4419453597
138	0.4382755901
139	0.4348150173
140	0.4314943394
141	0.4285484
142	0.4256513875
143	0.4224778005
144	0.4200044946
145	0.4163605941
146	0.4132296278
147	0.4106133023
148	0.4078307667
149	0.4054807302
150	0.4021561067
151	0.3983205254
152	0.3962252159
153	0.3934539021
154	0.3906417937
155	0.3872602579
156	0.3840924474
157	0.381321019
158	0.37854749
159	0.3756898207
160	0.3733025166
161	0.3709709729
162	0.3687820733
163	0.3656595157
164	0.3631110942
165	0.3608911833
166	0.3577498867
167	0.3554877144
168	0.3525551663
169	0.3501113479
170	0.3469372374
171	0.3441396092
172	0.3418143066
173	0.339845585
174	0.3372252839
175	0.3352350005
176	0.3327484904
177	0.3303717976
178	0.3281701971
179	0.3262491987
180	0.3240979384
181	0.3217537029
182	0.3203049762
183	0.3176979428
184	0.3153940351
185	0.3125071317
186	0.3105138882
187	0.3086750668
188	0.3065376718
189	0.3044553795
190	0.3024190683
191	0.3000243001
192	0.2981453344
193	0.2956875423
194	0.2936783945
195	0.2913153532
196	0.289553256
197	0.2875400702
198	0.2857812794
199	0.2838475031
200	0.2823255245
201	0.2800630251
202	0.2784505274
203	0.2765807881
204	0.2752203174
205	0.2734976909
206	0.2719787321
207	0.2703787169
208	0.2689144016
209	0.2675884373
210	0.2660420852
211	0.2643158176
212	0.2626052527
213	0.2609623998
214	0.259583195
215	0.2580311623
216	0.2564464958
217	0.2546087231
218	0.2530106985
219	0.2514065706
220	0.2498729646
221	0.2485847235
222	0.2471279654
223	0.2456895632
224	0.24413865
225	0.2425364077
226	0.241162381
227	0.2395455095
228	0.2379009842
229	0.2365043057
230	0.2351716316
231	0.2337069012
232	0.2322375142
233	0.2306572008
234	0.2291512687
235	0.2280370407
236	0.2267794951
237	0.2256904206
238	0.2241458888
239	0.2230456484
240	0.2215267645
241	0.2204248212
242	0.2193176305
243	0.2181805019
244	0.2173763966
245	0.2160037276
246	0.2149762386
247	0.2137791668
248	0.2128782983
249	0.2116440431
250	0.2107661612
251	0.2097167535
252	0.208405264
253	0.2073864651
254	0.2066011573
255	0.2055783619
256	0.2046884577
257	0.2036049294
258	0.2024912242
259	0.2011551327
260	0.1998497199
261	0.1985156755
262	0.1977014076
263	0.1967311245
264	0.1957964566
265	0.1946677849
266	0.1935346716
267	0.1928270071
268	0.1918467072
269	0.1908388092
270	0.1901404625
271	0.1889077749
272	0.1877867127
273	0.1868196118
274	0.1857593024
275	0.1847776767
276	0.1840880202
277	0.1831902855
278	0.182224353
279	0.1814429745
280	0.1804722002
281	0.1796699317
282	0.1789410059
283	0.1781271415
284	0.1774744902
285	0.1766680438
286	0.1757759897
287	0.1747987832
288	0.1739458574
289	0.1731214261
290	0.1722158366
291	0.1715654285
292	0.1708612512
293	0.1701152575
294	0.1695193446
295	0.1687535727
296	0.1679829676
297	0.1670962346
298	0.1661644957
299	0.1654587748
