iter	Passed	Remaining
0	214	64174
1	281	42011
2	342	33941
3	408	30199
4	465	27476
5	526	25807
6	591	24771
7	652	23820
8	712	23045
9	771	22378
10	829	21798
11	891	21386
12	953	21049
13	1010	20643
14	1066	20264
15	1123	19943
16	1180	19653
17	1234	19341
18	1289	19074
19	1344	18829
20	1401	18619
21	1457	18413
22	1513	18230
23	1572	18084
24	1630	17937
25	1687	17781
26	1744	17640
27	1801	17505
28	1856	17350
29	1913	17220
30	1968	17083
31	2027	16976
32	2083	16853
33	2141	16753
34	2201	16666
35	2267	16630
36	2326	16535
37	2383	16430
38	2439	16327
39	2495	16219
40	2550	16110
41	2606	16012
42	2663	15917
43	2719	15820
44	2771	15704
45	2820	15576
46	2870	15453
47	2920	15331
48	2970	15216
49	3022	15111
50	3077	15025
51	3133	14942
52	3189	14862
53	3244	14782
54	3301	14705
55	3355	14622
56	3412	14546
57	3467	14467
58	3522	14387
59	3578	14312
60	3636	14249
61	3689	14164
62	3744	14087
63	3799	14011
64	3853	13933
65	3907	13854
66	3963	13781
67	4016	13703
68	4073	13638
69	4138	13597
70	4203	13556
71	4260	13490
72	4315	13419
73	4372	13354
74	4429	13288
75	4486	13224
76	4543	13158
77	4600	13093
78	4655	13022
79	4711	12957
80	4767	12889
81	4823	12822
82	4876	12748
83	4930	12679
84	4985	12610
85	5042	12546
86	5100	12487
87	5155	12419
88	5211	12355
89	5268	12292
90	5324	12228
91	5381	12166
92	5436	12100
93	5491	12034
94	5552	11982
95	5608	11918
96	5664	11853
97	5719	11788
98	5776	11727
99	5830	11661
100	5886	11597
101	5940	11532
102	5995	11467
103	6052	11406
104	6107	11343
105	6164	11283
106	6219	11219
107	6274	11154
108	6331	11094
109	6386	11031
110	6441	10967
111	6497	10905
112	6555	10847
113	6611	10787
114	6666	10723
115	6722	10663
116	6778	10602
117	6833	10540
118	6890	10480
119	6946	10419
120	7003	10359
121	7058	10298
122	7113	10236
123	7170	10177
124	7228	10119
125	7289	10066
126	7356	10020
127	7417	9966
128	7476	9910
129	7533	9851
130	7594	9797
131	7657	9745
132	7716	9688
133	7768	9623
134	7819	9557
135	7871	9492
136	7926	9430
137	7988	9378
138	8051	9326
139	8116	9275
140	8177	9221
141	8238	9167
142	8301	9114
143	8363	9060
144	8422	9002
145	8482	8947
146	8547	8896
147	8610	8843
148	8670	8786
149	8727	8727
150	8785	8669
151	8842	8609
152	8902	8553
153	8965	8499
154	9028	8446
155	9087	8388
156	9145	8329
157	9202	8270
158	9265	8216
159	9328	8162
160	9386	8103
161	9443	8044
162	9503	7987
163	9564	7931
164	9624	7874
165	9680	7814
166	9737	7755
167	9795	7696
168	9856	7639
169	9918	7584
170	9977	7527
171	10036	7468
172	10098	7413
173	10162	7358
174	10222	7301
175	10283	7245
176	10346	7190
177	10406	7132
178	10462	7072
179	10518	7012
180	10577	6954
181	10635	6895
182	10696	6838
183	10757	6782
184	10820	6726
185	10881	6669
186	10939	6610
187	10993	6549
188	11054	6492
189	11114	6434
190	11176	6378
191	11232	6318
192	11290	6259
193	11349	6201
194	11406	6141
195	11464	6083
196	11520	6023
197	11577	5964
198	11635	5905
199	11695	5847
200	11751	5788
201	11813	5731
202	11873	5673
203	11934	5616
204	11990	5556
205	12048	5497
206	12106	5439
207	12170	5383
208	12231	5325
209	12292	5268
210	12351	5209
211	12408	5150
212	12468	5092
213	12527	5034
214	12581	4973
215	12635	4913
216	12689	4853
217	12740	4792
218	12792	4731
219	12851	4673
220	12914	4616
221	12981	4561
222	13043	4503
223	13102	4445
224	13159	4386
225	13217	4327
226	13275	4269
227	13336	4211
228	13395	4153
229	13454	4094
230	13511	4035
231	13569	3977
232	13627	3918
233	13685	3859
234	13744	3801
235	13805	3743
236	13866	3686
237	13928	3628
238	13992	3571
239	14054	3513
240	14115	3455
241	14172	3396
242	14231	3338
243	14290	3279
244	14350	3221
245	14415	3164
246	14475	3106
247	14533	3047
248	14591	2988
249	14647	2929
250	14708	2871
251	14770	2813
252	14826	2754
253	14883	2695
254	14944	2637
255	15006	2579
256	15067	2521
257	15126	2462
258	15185	2403
259	15247	2345
260	15314	2288
261	15379	2230
262	15441	2172
263	15502	2114
264	15559	2055
265	15615	1996
266	15675	1937
267	15734	1878
268	15795	1820
269	15854	1761
270	15920	1703
271	15982	1645
272	16037	1586
273	16095	1527
274	16152	1468
275	16211	1409
276	16272	1351
277	16334	1292
278	16396	1234
279	16456	1175
280	16518	1116
281	16575	1058
282	16635	999
283	16717	941
284	16816	885
285	16903	827
286	16995	769
287	17055	710
288	17121	651
289	17181	592
290	17241	533
291	17298	473
292	17359	414
293	17420	355
294	17481	296
295	17543	237
296	17600	177
297	17655	118
298	17708	59
299	17765	0
