epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,73.7166,1.29694,0.62687,1,1.01487,0.000404412,0.000404412,0.000404412
2,151.966,0.83876,0.70896,1,0.64048,0.000804821,0.000804821,0.000804821
3,224.132,0.56567,0.79851,1,0.52365,0.00118873,0.00118873,0.00118873
4,296.651,0.42617,0.76866,1,0.58359,0.00117575,0.00117575,0.00117575
5,368.919,0.37379,0.84328,1,0.7066,0.001151,0.001151,0.001151
6,440.77,0.34777,0.79104,1,0.63124,0.00112625,0.00112625,0.00112625
7,512.765,0.28226,0.82836,1,0.66171,0.0011015,0.0011015,0.0011015
8,584.699,0.32079,0.85821,1,0.41031,0.00107675,0.00107675,0.00107675
9,656.839,0.23836,0.81343,1,0.64511,0.001052,0.001052,0.001052
10,731.687,0.28997,0.8209,1,0.58102,0.00102725,0.00102725,0.00102725
11,803.555,0.23409,0.8806,1,0.32097,0.0010025,0.0010025,0.0010025
12,875.219,0.16988,0.85821,1,0.66824,0.00097775,0.00097775,0.00097775
13,947.061,0.14586,0.85821,1,0.41201,0.000953,0.000953,0.000953
14,1019.06,0.2068,0.86567,1,0.49972,0.00092825,0.00092825,0.00092825
15,1091.2,0.17545,0.85821,1,0.78418,0.0009035,0.0009035,0.0009035
16,1162.71,0.1293,0.85821,1,0.45167,0.00087875,0.00087875,0.00087875
