epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,71.4897,1.31472,0.62687,1,1.04004,0.000404412,0.000404412,0.000404412
2,144.804,0.82953,0.73881,1,0.66541,0.000804821,0.000804821,0.000804821
3,216.476,0.59767,0.75373,1,0.6065,0.00118873,0.00118873,0.00118873
4,288.624,0.45301,0.74627,1,0.55051,0.00117575,0.00117575,0.00117575
5,360.954,0.37039,0.78358,1,0.59039,0.001151,0.001151,0.001151
6,432.679,0.34727,0.76119,1,0.69995,0.00112625,0.00112625,0.00112625
7,504.346,0.31603,0.76866,1,0.57981,0.0011015,0.0011015,0.0011015
8,576.126,0.27311,0.79104,1,0.55521,0.00107675,0.00107675,0.00107675
9,647.698,0.23728,0.78358,1,0.70441,0.001052,0.001052,0.001052
10,719.614,0.21283,0.78358,1,0.64407,0.00102725,0.00102725,0.00102725
11,791.708,0.1858,0.78358,1,0.68091,0.0010025,0.0010025,0.0010025
12,864.24,0.18515,0.81343,1,0.77322,0.00097775,0.00097775,0.00097775
13,936.145,0.16945,0.8209,1,0.97314,0.000953,0.000953,0.000953
14,1008.14,0.18156,0.81343,1,0.68957,0.00092825,0.00092825,0.00092825
15,1079.44,0.11075,0.79104,1,1.00159,0.0009035,0.0009035,0.0009035
16,1150.75,0.09294,0.83582,1,0.7953,0.00087875,0.00087875,0.00087875
17,1222.11,0.14129,0.79851,1,0.67055,0.000854,0.000854,0.000854
18,1293.35,0.13213,0.82836,1,0.83856,0.00082925,0.00082925,0.00082925
19,1364.71,0.09177,0.82836,1,0.6347,0.0008045,0.0008045,0.0008045
20,1436.25,0.08818,0.79104,1,0.55836,0.00077975,0.00077975,0.00077975
21,1507.7,0.09903,0.83582,1,0.62997,0.000755,0.000755,0.000755
